epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,4105.03,0.01424,0.9935,1.00131,0.54774,0.32672,0.34106,0.11446,0.01678,1.39488,1.11399,0.00526,0.00526,0.00526
160,4130.7,0.01439,1.02335,1.01461,0.56218,0.31641,0.3395,0.11497,0.01673,1.35688,1.12005,0.00523,0.00523,0.00523
161,4156.53,0.01466,1.04237,1.005,0.56061,0.32774,0.35443,0.11976,0.0166,1.3756,1.10559,0.0052,0.0052,0.0052
162,4182.38,0.01424,1.00751,0.9996,0.53763,0.3208,0.33513,0.11325,0.01668,1.33635,1.12157,0.00517,0.00517,0.00517
163,4208.2,0.01466,1.0164,0.9848,0.54973,0.32429,0.33663,0.11326,0.01662,1.35144,1.10778,0.00514,0.00514,0.00514
164,4234.06,0.01437,1.00148,0.98781,0.5392,0.32446,0.3384,0.11388,0.01675,1.38215,1.1212,0.00511,0.00511,0.00511
165,4259.91,0.01436,1.00541,1.01302,0.54381,0.33226,0.35142,0.11917,0.01664,1.34119,1.11419,0.00508,0.00508,0.00508
166,4285.68,0.01417,0.98361,1.00151,0.54519,0.32491,0.3385,0.11426,0.01671,1.37572,1.12093,0.00505,0.00505,0.00505
167,4311.41,0.01455,0.99999,1.00218,0.54708,0.32908,0.34143,0.11511,0.01662,1.35425,1.11337,0.00502,0.00502,0.00502
168,4337.11,0.01454,1.00372,1.00517,0.54601,0.32623,0.34721,0.11888,0.0166,1.37265,1.10859,0.00499,0.00499,0.00499
169,4362.74,0.01409,0.99091,1.00031,0.55668,0.32643,0.34288,0.11611,0.01676,1.35848,1.10933,0.00496,0.00496,0.00496
170,4388.58,0.0146,1.00107,0.98494,0.54799,0.32183,0.33655,0.11517,0.01682,1.344,1.12611,0.00493,0.00493,0.00493
171,4414.39,0.01406,0.98727,0.99391,0.5493,0.32643,0.34182,0.11599,0.01674,1.35016,1.11633,0.0049,0.0049,0.0049
172,4440.12,0.01425,0.99029,0.98905,0.55379,0.3238,0.34496,0.11702,0.01676,1.38781,1.11159,0.00487,0.00487,0.00487
